2016-12-22 17:48:00 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2016-12-22 17:48:01 INFO  UserGroupInformation:965 - Login successful for user hbase-ryancicak@RYAN.COM using keytab file /users/rcicak/Desktop/hbase.headless.keytab
2016-12-22 17:48:01 INFO  RecoverableZooKeeper:121 - Process identifier=hconnection-0x106761e6 connecting to ZooKeeper ensemble=rcicakm2.field.hortonworks.com:2181,rcicakm0.field.hortonworks.com:2181,rcicakm1.field.hortonworks.com:2181
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:host.name=10.0.1.7
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.version=1.7.0_80
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.vendor=Oracle Corporation
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.class.path=/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar:/Applications/IntelliJ IDEA CE.app/Contents/plugins/junit/lib/junit-rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/htmlconverter.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/javafx-doclet.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_80.jdk/Contents/Home/lib/tools.jar:/Users/rcicak/Downloads/hdpconnect/target/test-classes:/Users/rcicak/Downloads/hdpconnect/target/classes:/Users/rcicak/.m2/repository/org/apache/phoenix/phoenix-core/4.4.0-HBase-1.1/phoenix-core-4.4.0-HBase-1.1.jar:/Users/rcicak/.m2/repository/org/antlr/antlr/3.5/antlr-3.5.jar:/Users/rcicak/.m2/repository/org/antlr/ST4/4.0.7/ST4-4.0.7.jar:/Users/rcicak/.m2/repository/org/antlr/antlr-runtime/3.5/antlr-runtime-3.5.jar:/Users/rcicak/.m2/repository/org/antlr/stringtemplate/3.2.1/stringtemplate-3.2.1.jar:/Users/rcicak/.m2/repository/antlr/antlr/2.7.7/antlr-2.7.7.jar:/Users/rcicak/.m2/repository/jline/jline/2.11/jline-2.11.jar:/Users/rcicak/.m2/repository/sqlline/sqlline/1.1.8/sqlline-1.1.8.jar:/Users/rcicak/.m2/repository/com/google/guava/guava/12.0.1/guava-12.0.1.jar:/Users/rcicak/.m2/repository/joda-time/joda-time/2.7/joda-time-2.7.jar:/Users/rcicak/.m2/repository/net/sourceforge/findbugs/annotations/1.3.2/annotations-1.3.2.jar:/Users/rcicak/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.8.8/jackson-core-asl-1.8.8.jar:/Users/rcicak/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.8.8/jackson-mapper-asl-1.8.8.jar:/Users/rcicak/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/rcicak/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/rcicak/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar:/Users/rcicak/.m2/repository/org/apache/httpcomponents/httpclient/4.0.1/httpclient-4.0.1.jar:/Users/rcicak/.m2/repository/org/apache/httpcomponents/httpcore/4.0.1/httpcore-4.0.1.jar:/Users/rcicak/.m2/repository/log4j/log4j/1.2.17/log4j-1.2.17.jar:/Users/rcicak/.m2/repository/org/slf4j/slf4j-api/1.6.4/slf4j-api-1.6.4.jar:/Users/rcicak/.m2/repository/org/iq80/snappy/snappy/0.3/snappy-0.3.jar:/Users/rcicak/.m2/repository/org/apache/htrace/htrace-core/3.1.0-incubating/htrace-core-3.1.0-incubating.jar:/Users/rcicak/.m2/repository/io/netty/netty-all/4.0.23.Final/netty-all-4.0.23.Final.jar:/Users/rcicak/.m2/repository/commons-codec/commons-codec/1.7/commons-codec-1.7.jar:/Users/rcicak/.m2/repository/commons-collections/commons-collections/3.2.1/commons-collections-3.2.1.jar:/Users/rcicak/.m2/repository/org/apache/commons/commons-csv/1.0/commons-csv-1.0.jar:/Users/rcicak/.m2/repository/com/google/code/findbugs/jsr305/2.0.1/jsr305-2.0.1.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-annotations/1.1.0/hbase-annotations-1.1.0.jar:/Applications/IntelliJ IDEA CE.app/Contents/jre/jdk/Contents/Home/jre/../lib/tools.jar:/Users/rcicak/.m2/repository/com/github/stephenc/findbugs/findbugs-annotations/1.3.9-1/findbugs-annotations-1.3.9-1.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-common/1.1.0/hbase-common-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-protocol/1.1.0/hbase-protocol-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-client/1.1.0/hbase-client-1.1.0.jar:/Users/rcicak/.m2/repository/org/jruby/jcodings/jcodings/1.0.8/jcodings-1.0.8.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-server/1.1.0/hbase-server-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-procedure/1.1.0/hbase-procedure-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-common/1.1.0/hbase-common-1.1.0-tests.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-prefix-tree/1.1.0/hbase-prefix-tree-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-hadoop2-compat/1.1.0/hbase-hadoop2-compat-1.1.0.jar:/Users/rcicak/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/Users/rcicak/.m2/repository/org/apache/commons/commons-math/2.2/commons-math-2.2.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/jetty-sslengine/6.1.26/jetty-sslengine-6.1.26.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/jsp-2.1/6.1.14/jsp-2.1-6.1.14.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/jsp-api-2.1/6.1.14/jsp-api-2.1-6.1.14.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/servlet-api-2.5/6.1.14/servlet-api-2.5-6.1.14.jar:/Users/rcicak/.m2/repository/org/codehaus/jackson/jackson-jaxrs/1.9.13/jackson-jaxrs-1.9.13.jar:/Users/rcicak/.m2/repository/tomcat/jasper-compiler/5.5.23/jasper-compiler-5.5.23.jar:/Users/rcicak/.m2/repository/tomcat/jasper-runtime/5.5.23/jasper-runtime-5.5.23.jar:/Users/rcicak/.m2/repository/commons-el/commons-el/1.0/commons-el-1.0.jar:/Users/rcicak/.m2/repository/org/jamon/jamon-runtime/2.3.1/jamon-runtime-2.3.1.jar:/Users/rcicak/.m2/repository/com/lmax/disruptor/3.3.0/disruptor-3.3.0.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-client/2.5.1/hadoop-client-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-app/2.5.1/hadoop-mapreduce-client-app-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-common/2.5.1/hadoop-mapreduce-client-common-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-yarn-client/2.5.1/hadoop-yarn-client-2.5.1.jar:/Users/rcicak/.m2/repository/com/sun/jersey/jersey-client/1.9/jersey-client-1.9.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-yarn-server-common/2.5.1/hadoop-yarn-server-common-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-shuffle/2.5.1/hadoop-mapreduce-client-shuffle-2.5.1.jar:/Users/rcicak/.m2/repository/org/fusesource/leveldbjni/leveldbjni-all/1.8/leveldbjni-all-1.8.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-yarn-api/2.5.1/hadoop-yarn-api-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-jobclient/2.5.1/hadoop-mapreduce-client-jobclient-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-hdfs/2.5.1/hadoop-hdfs-2.5.1.jar:/Users/rcicak/.m2/repository/commons-daemon/commons-daemon/1.0.13/commons-daemon-1.0.13.jar:/Users/rcicak/.m2/repository/org/apache/hbase/hbase-hadoop-compat/1.1.0/hbase-hadoop-compat-1.1.0.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-annotations/2.5.1/hadoop-annotations-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-core/2.5.1/hadoop-mapreduce-client-core-2.5.1.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-yarn-common/2.5.1/hadoop-yarn-common-2.5.1.jar:/Users/rcicak/.m2/repository/javax/xml/bind/jaxb-api/2.2.2/jaxb-api-2.2.2.jar:/Users/rcicak/.m2/repository/javax/xml/stream/stax-api/1.0-2/stax-api-1.0-2.jar:/Users/rcicak/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar:/Users/rcicak/.m2/repository/com/google/inject/guice/3.0/guice-3.0.jar:/Users/rcicak/.m2/repository/javax/inject/javax.inject/1/javax.inject-1.jar:/Users/rcicak/.m2/repository/aopalliance/aopalliance/1.0/aopalliance-1.0.jar:/Users/rcicak/.m2/repository/com/sun/jersey/contribs/jersey-guice/1.9/jersey-guice-1.9.jar:/Users/rcicak/.m2/repository/com/google/inject/extensions/guice-servlet/3.0/guice-servlet-3.0.jar:/Users/rcicak/.m2/repository/io/netty/netty/3.6.2.Final/netty-3.6.2.Final.jar:/Users/rcicak/.m2/repository/org/jruby/joni/joni/2.1.2/joni-2.1.2.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-common/2.7.1/hadoop-common-2.7.1.jar:/Users/rcicak/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/rcicak/.m2/repository/org/apache/commons/commons-math3/3.1.1/commons-math3-3.1.1.jar:/Users/rcicak/.m2/repository/xmlenc/xmlenc/0.52/xmlenc-0.52.jar:/Users/rcicak/.m2/repository/commons-httpclient/commons-httpclient/3.1/commons-httpclient-3.1.jar:/Users/rcicak/.m2/repository/commons-io/commons-io/2.4/commons-io-2.4.jar:/Users/rcicak/.m2/repository/commons-net/commons-net/3.1/commons-net-3.1.jar:/Users/rcicak/.m2/repository/javax/servlet/servlet-api/2.5/servlet-api-2.5.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/jetty/6.1.26/jetty-6.1.26.jar:/Users/rcicak/.m2/repository/org/mortbay/jetty/jetty-util/6.1.26/jetty-util-6.1.26.jar:/Users/rcicak/.m2/repository/javax/servlet/jsp/jsp-api/2.1/jsp-api-2.1.jar:/Users/rcicak/.m2/repository/com/sun/jersey/jersey-core/1.9/jersey-core-1.9.jar:/Users/rcicak/.m2/repository/com/sun/jersey/jersey-json/1.9/jersey-json-1.9.jar:/Users/rcicak/.m2/repository/org/codehaus/jettison/jettison/1.1/jettison-1.1.jar:/Users/rcicak/.m2/repository/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.jar:/Users/rcicak/.m2/repository/org/codehaus/jackson/jackson-xc/1.8.3/jackson-xc-1.8.3.jar:/Users/rcicak/.m2/repository/com/sun/jersey/jersey-server/1.9/jersey-server-1.9.jar:/Users/rcicak/.m2/repository/asm/asm/3.1/asm-3.1.jar:/Users/rcicak/.m2/repository/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar:/Users/rcicak/.m2/repository/net/java/dev/jets3t/jets3t/0.9.0/jets3t-0.9.0.jar:/Users/rcicak/.m2/repository/com/jamesmurty/utils/java-xmlbuilder/0.4/java-xmlbuilder-0.4.jar:/Users/rcicak/.m2/repository/commons-lang/commons-lang/2.6/commons-lang-2.6.jar:/Users/rcicak/.m2/repository/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar:/Users/rcicak/.m2/repository/commons-digester/commons-digester/1.8/commons-digester-1.8.jar:/Users/rcicak/.m2/repository/commons-beanutils/commons-beanutils/1.7.0/commons-beanutils-1.7.0.jar:/Users/rcicak/.m2/repository/commons-beanutils/commons-beanutils-core/1.8.0/commons-beanutils-core-1.8.0.jar:/Users/rcicak/.m2/repository/org/slf4j/slf4j-log4j12/1.7.10/slf4j-log4j12-1.7.10.jar:/Users/rcicak/.m2/repository/org/apache/avro/avro/1.7.4/avro-1.7.4.jar:/Users/rcicak/.m2/repository/com/thoughtworks/paranamer/paranamer/2.3/paranamer-2.3.jar:/Users/rcicak/.m2/repository/org/xerial/snappy/snappy-java/1.0.4.1/snappy-java-1.0.4.1.jar:/Users/rcicak/.m2/repository/com/google/code/gson/gson/2.2.4/gson-2.2.4.jar:/Users/rcicak/.m2/repository/org/apache/hadoop/hadoop-auth/2.7.1/hadoop-auth-2.7.1.jar:/Users/rcicak/.m2/repository/org/apache/directory/server/apacheds-kerberos-codec/2.0.0-M15/apacheds-kerberos-codec-2.0.0-M15.jar:/Users/rcicak/.m2/repository/org/apache/directory/server/apacheds-i18n/2.0.0-M15/apacheds-i18n-2.0.0-M15.jar:/Users/rcicak/.m2/repository/org/apache/directory/api/api-asn1-api/1.0.0-M20/api-asn1-api-1.0.0-M20.jar:/Users/rcicak/.m2/repository/org/apache/directory/api/api-util/1.0.0-M20/api-util-1.0.0-M20.jar:/Users/rcicak/.m2/repository/org/apache/curator/curator-framework/2.7.1/curator-framework-2.7.1.jar:/Users/rcicak/.m2/repository/com/jcraft/jsch/0.1.42/jsch-0.1.42.jar:/Users/rcicak/.m2/repository/org/apache/curator/curator-client/2.7.1/curator-client-2.7.1.jar:/Users/rcicak/.m2/repository/org/apache/curator/curator-recipes/2.7.1/curator-recipes-2.7.1.jar:/Users/rcicak/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/Users/rcicak/.m2/repository/org/apache/commons/commons-compress/1.4.1/commons-compress-1.4.1.jar:/Users/rcicak/.m2/repository/org/tukaani/xz/1.0/xz-1.0.jar
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.library.path=/Users/rcicak/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2016-12-22 17:48:02 INFO  ZooKeeper:100 - Client environment:java.io.tmpdir=/var/folders/56/v8wcl5t56tv82knvgqtqv8wh0000gn/T/
